iter	Passed	Remaining
0	197	197172
1	236	118211
2	274	91131
3	313	77955
4	347	69100
5	383	63569
6	419	59458
7	458	56861
8	494	54396
9	527	52250
10	562	50572
11	599	49331
12	637	48365
13	674	47494
14	711	46694
15	751	46213
16	782	45238
17	810	44223
18	849	43859
19	883	43305
20	916	42748
21	951	42303
22	988	41986
23	1023	41639
24	1058	41268
25	1089	40826
26	1128	40673
27	1159	40260
28	1198	40118
29	1235	39942
30	1269	39687
31	1302	39407
32	1341	39300
33	1381	39246
34	1413	38962
35	1453	38911
36	1490	38791
37	1531	38776
38	1568	38644
39	1603	38480
40	1646	38503
41	1685	38436
42	1719	38264
43	1759	38235
44	1798	38157
45	1832	38011
46	1861	37747
47	1896	37604
48	1931	37481
49	1969	37417
50	2010	37404
51	2042	37238
52	2078	37137
53	2115	37062
54	2156	37047
55	2190	36929
56	2225	36822
57	2255	36632
58	2284	36439
59	2324	36420
60	2360	36335
61	2396	36250
62	2429	36129
63	2465	36050
64	2499	35953
65	2539	35941
66	2573	35830
67	2604	35692
68	2637	35588
69	2673	35513
70	2700	35338
71	2727	35151
72	2762	35075
73	2798	35014
74	2831	34919
75	2866	34846
76	2899	34754
77	2931	34653
78	2964	34555
79	2995	34451
80	3026	34339
81	3063	34294
82	3096	34212
83	3124	34073
84	3152	33938
85	3184	33844
86	3216	33750
87	3249	33677
88	3280	33584
89	3313	33506
90	3346	33425
91	3380	33360
92	3414	33298
93	3447	33230
94	3482	33179
95	3521	33157
96	3555	33095
97	3586	33011
98	3623	32980
99	3658	32927
100	3693	32880
101	3726	32811
102	3759	32737
103	3794	32689
104	3826	32620
105	3858	32543
106	3892	32482
107	3924	32416
108	3954	32323
109	3981	32217
110	4017	32179
111	4052	32129
112	4089	32099
113	4122	32041
114	4155	31978
115	4189	31923
116	4217	31831
117	4248	31756
118	4279	31685
119	4310	31609
120	4337	31508
121	4374	31482
122	4406	31416
123	4438	31353
124	4468	31282
125	4508	31270
126	4540	31210
127	4577	31187
128	4611	31137
129	4641	31059
130	4671	30989
131	4700	30910
132	4735	30871
133	4766	30805
134	4798	30746
135	4831	30695
136	4868	30668
137	4905	30639
138	4946	30641
139	4981	30597
140	5015	30557
141	5045	30484
142	5073	30403
143	5111	30385
144	5148	30357
145	5185	30334
146	5218	30280
147	5249	30220
148	5280	30160
149	5303	30053
150	5342	30037
151	5374	29983
152	5402	29906
153	5430	29834
154	5464	29791
155	5499	29752
156	5525	29669
157	5556	29611
158	5592	29582
159	5628	29547
160	5658	29487
161	5695	29459
162	5729	29421
163	5759	29360
164	5786	29281
165	5819	29238
166	5856	29212
167	5890	29172
168	5924	29132
169	5957	29086
170	5987	29026
171	6022	28992
172	6056	28953
173	6086	28891
174	6113	28820
175	6148	28788
176	6182	28747
177	6212	28688
178	6241	28626
179	6273	28580
180	6307	28542
181	6342	28508
182	6376	28466
183	6409	28425
184	6439	28368
185	6472	28326
186	6495	28237
187	6523	28174
188	6558	28143
189	6591	28101
190	6629	28079
191	6674	28088
192	6710	28059
193	6746	28028
194	6777	27980
195	6813	27949
196	6851	27927
197	6886	27892
198	6924	27871
199	6961	27846
200	7002	27836
201	7036	27796
202	7076	27781
203	7123	27795
204	7155	27748
205	7200	27751
206	7242	27744
207	7278	27712
