iter	Passed	Remaining
0	207	207720
1	249	124712
2	286	95105
3	323	80673
4	356	70864
5	389	64512
6	422	60004
7	453	56247
8	485	53464
9	518	51311
10	551	49562
11	579	47704
12	605	45974
13	632	44521
14	658	43254
15	685	42134
16	711	41158
17	736	40158
18	761	39305
19	785	38513
20	810	37786
21	835	37132
22	861	36591
23	886	36069
24	912	35593
25	936	35094
26	962	34691
27	987	34293
28	1015	33989
29	1041	33684
30	1067	33378
31	1092	33049
32	1119	32791
33	1146	32576
34	1176	32427
35	1201	32161
36	1227	31946
37	1254	31763
38	1281	31576
39	1308	31410
40	1337	31280
41	1364	31114
42	1387	30878
43	1414	30732
44	1440	30575
45	1465	30390
46	1490	30215
47	1515	30053
48	1539	29882
49	1565	29745
50	1590	29589
51	1619	29523
52	1646	29412
53	1672	29298
54	1698	29185
55	1724	29068
56	1749	28939
57	1776	28848
58	1801	28733
59	1827	28628
60	1855	28556
61	1884	28506
62	1909	28404
63	1935	28312
64	1961	28212
65	1986	28109
66	2011	28014
67	2037	27929
68	2064	27860
69	2092	27803
70	2118	27721
71	2143	27627
72	2172	27584
73	2198	27511
74	2224	27433
75	2252	27381
76	2278	27316
77	2303	27232
78	2330	27166
79	2355	27088
80	2379	26992
81	2406	26940
82	2432	26875
83	2460	26828
84	2487	26772
85	2512	26701
86	2537	26633
87	2565	26584
88	2591	26527
89	2618	26477
90	2643	26407
91	2670	26356
92	2699	26325
93	2730	26313
94	2756	26261
95	2784	26220
96	2810	26164
97	2836	26109
98	2864	26070
99	2891	26025
100	2918	25978
101	2944	25918
102	2970	25867
103	2997	25827
104	3025	25789
105	3050	25726
106	3076	25672
107	3102	25624
108	3129	25579
109	3155	25531
110	3181	25476
111	3206	25424
112	3232	25372
113	3257	25316
114	3289	25312
115	3317	25278
116	3340	25211
117	3366	25160
118	3392	25118
119	3418	25072
120	3443	25012
121	3469	24971
122	3495	24925
123	3521	24877
124	3550	24852
125	3577	24812
126	3602	24762
127	3630	24733
128	3656	24691
129	3682	24644
130	3707	24595
131	3735	24560
132	3763	24533
133	3788	24482
134	3813	24435
135	3838	24388
136	3869	24376
137	3901	24372
138	3928	24335
139	3953	24283
140	3976	24227
141	4003	24188
142	4027	24136
143	4053	24096
144	4081	24069
145	4112	24053
146	4138	24014
147	4165	23981
148	4191	23937
149	4211	23863
150	4237	23824
151	4262	23777
152	4289	23744
153	4315	23705
154	4340	23663
155	4369	23642
156	4392	23582
157	4416	23538
158	4444	23509
159	4472	23480
160	4496	23432
161	4522	23396
162	4550	23365
163	4575	23326
164	4600	23283
165	4625	23236
166	4653	23210
167	4679	23173
168	4705	23138
169	4730	23097
170	4757	23062
171	4782	23025
172	4809	22992
173	4837	22963
174	4863	22928
175	4888	22886
176	4915	22856
177	4939	22810
178	4967	22782
179	4993	22748
180	5020	22717
181	5046	22683
182	5073	22650
183	5100	22619
184	5124	22576
185	5151	22543
186	5170	22480
187	5196	22444
188	5223	22413
189	5251	22389
190	5280	22365
191	5308	22339
192	5333	22300
193	5358	22263
194	5381	22214
195	5405	22174
196	5431	22141
197	5457	22105
198	5482	22068
199	5512	22048
200	5536	22009
201	5561	21971
202	5591	21952
203	5619	21927
204	5640	21873
205	5666	21841
206	5691	21802
207	5713	21753
208	5737	21713
209	5763	21681
210	5793	21665
211	5815	21616
212	5842	21586
213	5866	21547
214	5895	21525
215	5921	21492
216	5945	21453
217	5967	21407
218	5994	21376
219	6020	21345
220	6046	21313
221	6075	21290
222	6102	21263
223	6129	21232
224	6149	21182
225	6176	21151
226	6200	21114
227	6227	21084
228	6251	21048
229	6277	21016
230	6303	20982
231	6331	20959
232	6355	20922
233	6377	20875
234	6403	20844
235	6430	20816
236	6456	20785
237	6479	20746
238	6503	20708
239	6530	20679
240	6556	20647
241	6581	20613
242	6606	20579
243	6634	20555
244	6660	20524
245	6686	20493
246	6710	20457
247	6736	20425
248	6762	20395
249	6789	20368
250	6815	20339
251	6840	20305
252	6866	20273
253	6894	20249
254	6921	20220
255	6946	20189
256	6971	20156
257	6997	20125
258	7023	20094
259	7049	20063
260	7074	20030
261	7098	19995
262	7126	19969
263	7151	19937
264	7179	19913
265	7205	19881
266	7233	19859
267	7261	19833
268	7288	19805
269	7312	19771
270	7339	19744
271	7366	19715
272	7391	19684
273	7416	19651
274	7441	19618
275	7470	19596
276	7496	19567
277	7521	19534
278	7546	19502
279	7574	19476
280	7599	19445
281	7621	19404
282	7647	19376
283	7673	19346
284	7702	19322
285	7730	19299
286	7758	19273
287	7784	19245
288	7808	19211
289	7837	19187
290	7863	19159
291	7890	19132
292	7916	19102
293	7941	19069
294	7967	19041
295	7992	19009
296	8019	18983
297	8046	18956
298	8073	18927
299	8097	18894
300	8123	18864
301	8148	18833
302	8173	18801
303	8198	18770
304	8223	18738
